permit,facility,Outfall,key,permit_outfall,state,kg_N_TN_per_month,month_year,EXTERNAL_PERMIT_NMBR.x,FACILITY_NAME,SIC_CODES,SIC_DESCRIPTIONS,PERM_FEATURE_NMBR.x,STATE_WATER_BODY_NAME,LATITUDE83,LONGITUDE83,impute_lat,impute_lon,EXTERNAL_PERMIT_NMBR.y,PERM_FEATURE_NMBR.y,huc8,name,impute_name
NY0026239,NYCDEP - TALLMAN ISLAND WPCP,1,NY0026239_1_2005-07-31,NY0026239_1,NY,109659.863945578,2005-07-01,NY0026239,NYCDEP - TALLMAN ISLAND WPCP,4952,Sewerage Systems,1,EAST R,40.797583,-73.841056,NA,NA,NY0026239,1,02030102,Bronx,NA
NY0026697,NEW ROCHELLE SD,1,NY0026697_1_2005-07-31,NY0026697_1,NY,22550.566893424,2005-07-01,NY0026697,NEW ROCHELLE STP,4952,Sewerage Systems,1,LONG ISLAND SOUND,40.891194,-73.738667,NA,NA,NY0026697,1,02030203,Long Island Sound,NA
NY0026701,MAMARONECK SANITARY SD WWTP,1,NY0026701_1_2005-07-31,NY0026701_1,NY,15928.798185941,2005-07-01,NY0026701,MAMARONECK (V) SANITARY SD,4952,Sewerage Systems,1,LONG ISLAND SOUND,41.155583,-74.671111,NA,NA,NA,NA,NA,Long Island Sound,Long Island Sound
NY0026786,PORT CHESTER SANITARY SD WWTP,1,NY0026786_1_2005-07-31,NY0026786_1,NY,8829.02494331066,2005-07-01,NY0026786,PORT CHESTER STP,4952,Sewerage Systems,1,BYRAM R,40.989194,-73.659278,NA,NA,NY0026786,1,02030203,Long Island Sound,NA
NY0027073,NYCDEP - RED HOOK WPCP,1,NY0027073_1_2005-07-31,NY0027073_1,NY,39365.0793650794,2005-07-01,NY0027073,NYCDEP - RED HOOK WPCP,4952,Sewerage Systems,1,EAST R,40.705722,-73.984389,NA,NA,NA,NA,NA,East River,East River
NY0026697,NEW ROCHELLE SD,1,NY0026697_1_2005-08-31,NY0026697_1,NY,19710.6575963719,2005-08-01,NY0026697,NEW ROCHELLE STP,4952,Sewerage Systems,1,LONG ISLAND SOUND,40.891194,-73.738667,NA,NA,NY0026697,1,02030203,Long Island Sound,NA
NY0026701,MAMARONECK SANITARY SD WWTP,1,NY0026701_1_2005-08-31,NY0026701_1,NY,12807.7097505669,2005-08-01,NY0026701,MAMARONECK (V) SANITARY SD,4952,Sewerage Systems,1,LONG ISLAND SOUND,41.155583,-74.671111,NA,NA,NA,NA,NA,Long Island Sound,Long Island Sound
NY0026786,PORT CHESTER SANITARY SD WWTP,1,NY0026786_1_2005-08-31,NY0026786_1,NY,9335.14739229025,2005-08-01,NY0026786,PORT CHESTER STP,4952,Sewerage Systems,1,BYRAM R,40.989194,-73.659278,NA,NA,NY0026786,1,02030203,Long Island Sound,NA
NY0026131,NYCDEP - WARD'S ISLAND WPCP,1,NY0026131_1_2005-08-31,NY0026131_1,NY,310702.947845805,2005-08-01,NY0026131,NYCDEP - WARD'S ISLAND WPCP,4952,Sewerage Systems,1,EAST R,40.787833,-73.919139,NA,NA,NA,NA,NA,East River,East River
NY0026191,NYCDEP - HUNT'S POINT WPCP,1,NY0026191_1_2005-08-31,NY0026191_1,NY,257278.911564626,2005-08-01,NY0026191,NYCDEP - HUNT'S POINT WPCP,4952,Sewerage Systems,1,UPPER EAST R,40.801389,-73.879583,NA,NA,NY0026191,1,02030102,Bronx,NA
NY0026204,NYCDEP - NEWTOWN CREEK WPCP,1,NY0026204_1_2005-08-31,NY0026204_1,NY,435827.664399093,2005-08-01,NY0026204,NYCDEP - NEWTOWN CREEK WPCP,4952,Sewerage Systems,1,EAST R,40.731139,-73.965583,NA,NA,NA,NA,NA,East River,East River
NY0026239,NYCDEP - TALLMAN ISLAND WPCP,1,NY0026239_1_2005-08-31,NY0026239_1,NY,98412.6984126984,2005-08-01,NY0026239,NYCDEP - TALLMAN ISLAND WPCP,4952,Sewerage Systems,1,EAST R,40.797583,-73.841056,NA,NA,NY0026239,1,02030102,Bronx,NA
NY0027073,NYCDEP - RED HOOK WPCP,1,NY0027073_1_2005-08-31,NY0027073_1,NY,39365.0793650794,2005-08-01,NY0027073,NYCDEP - RED HOOK WPCP,4952,Sewerage Systems,1,EAST R,40.705722,-73.984389,NA,NA,NA,NA,NA,East River,East River
NY0026999,GREAT NECK WPC DISTRICT,3,NY0026999_3_2005-08-31,NY0026999_3,NY,5665.75963718821,2005-08-01,NY0026999,GREAT NECK WPC DISTRICT,4952,Sewerage Systems,3,MANHASSET BAY,40.797722,-73.712139,NA,NA,NY0026999,3,02030201,Northern Long Island,NA
NY0026999,GREAT NECK WPC DISTRICT,3,NY0026999_3_2005-09-30,NY0026999_3,NY,5646.25850340136,2005-09-01,NY0026999,GREAT NECK WPC DISTRICT,4952,Sewerage Systems,3,MANHASSET BAY,40.797722,-73.712139,NA,NA,NY0026999,3,02030201,Northern Long Island,NA
NY0026131,NYCDEP - WARD'S ISLAND WPCP,1,NY0026131_1_2005-09-30,NY0026131_1,NY,304761.904761905,2005-09-01,NY0026131,NYCDEP - WARD'S ISLAND WPCP,4952,Sewerage Systems,1,EAST R,40.787833,-73.919139,NA,NA,NA,NA,NA,East River,East River
NY0026191,NYCDEP - HUNT'S POINT WPCP,1,NY0026191_1_2005-09-30,NY0026191_1,NY,193197.278911565,2005-09-01,NY0026191,NYCDEP - HUNT'S POINT WPCP,4952,Sewerage Systems,1,UPPER EAST R,40.801389,-73.879583,NA,NA,NY0026191,1,02030102,Bronx,NA
NY0026204,NYCDEP - NEWTOWN CREEK WPCP,1,NY0026204_1_2005-09-30,NY0026204_1,NY,450340.136054422,2005-09-01,NY0026204,NYCDEP - NEWTOWN CREEK WPCP,4952,Sewerage Systems,1,EAST R,40.731139,-73.965583,NA,NA,NA,NA,NA,East River,East River
NY0026239,NYCDEP - TALLMAN ISLAND WPCP,1,NY0026239_1_2005-09-30,NY0026239_1,NY,106122.448979592,2005-09-01,NY0026239,NYCDEP - TALLMAN ISLAND WPCP,4952,Sewerage Systems,1,EAST R,40.797583,-73.841056,NA,NA,NY0026239,1,02030102,Bronx,NA
NY0026697,NEW ROCHELLE SD,1,NY0026697_1_2005-09-30,NY0026697_1,NY,23156.462585034,2005-09-01,NY0026697,NEW ROCHELLE STP,4952,Sewerage Systems,1,LONG ISLAND SOUND,40.891194,-73.738667,NA,NA,NY0026697,1,02030203,Long Island Sound,NA
NY0026701,MAMARONECK SANITARY SD WWTP,1,NY0026701_1_2005-09-30,NY0026701_1,NY,16503.4013605442,2005-09-01,NY0026701,MAMARONECK (V) SANITARY SD,4952,Sewerage Systems,1,LONG ISLAND SOUND,41.155583,-74.671111,NA,NA,NA,NA,NA,Long Island Sound,Long Island Sound
NY0026786,PORT CHESTER SANITARY SD WWTP,1,NY0026786_1_2005-09-30,NY0026786_1,NY,8952.38095238095,2005-09-01,NY0026786,PORT CHESTER STP,4952,Sewerage Systems,1,BYRAM R,40.989194,-73.659278,NA,NA,NY0026786,1,02030203,Long Island Sound,NA
NY0027073,NYCDEP - RED HOOK WPCP,1,NY0027073_1_2005-09-30,NY0027073_1,NY,36734.693877551,2005-09-01,NY0027073,NYCDEP - RED HOOK WPCP,4952,Sewerage Systems,1,EAST R,40.705722,-73.984389,NA,NA,NA,NA,NA,East River,East River
NY0026999,GREAT NECK WPC DISTRICT,3,NY0026999_3_2005-10-31,NY0026999_3,NY,7929.25170068027,2005-10-01,NY0026999,GREAT NECK WPC DISTRICT,4952,Sewerage Systems,3,MANHASSET BAY,40.797722,-73.712139,NA,NA,NY0026999,3,02030201,Northern Long Island,NA
NY0026701,MAMARONECK SANITARY SD WWTP,1,NY0026701_1_2005-10-31,NY0026701_1,NY,27625.8503401361,2005-10-01,NY0026701,MAMARONECK (V) SANITARY SD,4952,Sewerage Systems,1,LONG ISLAND SOUND,41.155583,-74.671111,NA,NA,NA,NA,NA,Long Island Sound,Long Island Sound
NY0026786,PORT CHESTER SANITARY SD WWTP,1,NY0026786_1_2005-10-31,NY0026786_1,NY,8590.02267573696,2005-10-01,NY0026786,PORT CHESTER STP,4952,Sewerage Systems,1,BYRAM R,40.989194,-73.659278,NA,NA,NY0026786,1,02030203,Long Island Sound,NA
NY0026697,NEW ROCHELLE SD,1,NY0026697_1_2005-10-31,NY0026697_1,NY,24912.4716553288,2005-10-01,NY0026697,NEW ROCHELLE STP,4952,Sewerage Systems,1,LONG ISLAND SOUND,40.891194,-73.738667,NA,NA,NY0026697,1,02030203,Long Island Sound,NA
NY0026131,NYCDEP - WARD'S ISLAND WPCP,1,NY0026131_1_2005-10-31,NY0026131_1,NY,423174.603174603,2005-10-01,NY0026131,NYCDEP - WARD'S ISLAND WPCP,4952,Sewerage Systems,1,EAST R,40.787833,-73.919139,NA,NA,NA,NA,NA,East River,East River
NY0026191,NYCDEP - HUNT'S POINT WPCP,1,NY0026191_1_2005-10-31,NY0026191_1,NY,261496.598639456,2005-10-01,NY0026191,NYCDEP - HUNT'S POINT WPCP,4952,Sewerage Systems,1,UPPER EAST R,40.801389,-73.879583,NA,NA,NY0026191,1,02030102,Bronx,NA
NY0026204,NYCDEP - NEWTOWN CREEK WPCP,1,NY0026204_1_2005-10-31,NY0026204_1,NY,586258.503401361,2005-10-01,NY0026204,NYCDEP - NEWTOWN CREEK WPCP,4952,Sewerage Systems,1,EAST R,40.731139,-73.965583,NA,NA,NA,NA,NA,East River,East River
NY0026239,NYCDEP - TALLMAN ISLAND WPCP,1,NY0026239_1_2005-10-31,NY0026239_1,NY,105442.176870748,2005-10-01,NY0026239,NYCDEP - TALLMAN ISLAND WPCP,4952,Sewerage Systems,1,EAST R,40.797583,-73.841056,NA,NA,NY0026239,1,02030102,Bronx,NA
NY0027073,NYCDEP - RED HOOK WPCP,1,NY0027073_1_2005-10-31,NY0027073_1,NY,52018.1405895692,2005-10-01,NY0027073,NYCDEP - RED HOOK WPCP,4952,Sewerage Systems,1,EAST R,40.705722,-73.984389,NA,NA,NA,NA,NA,East River,East River
NY0026999,GREAT NECK WPC DISTRICT,3,NY0026999_3_2005-11-30,NY0026999_3,NY,6503.40136054422,2005-11-01,NY0026999,GREAT NECK WPC DISTRICT,4952,Sewerage Systems,3,MANHASSET BAY,40.797722,-73.712139,NA,NA,NY0026999,3,02030201,Northern Long Island,NA
NY0026697,NEW ROCHELLE SD,1,NY0026697_1_2005-11-30,NY0026697_1,NY,27619.0476190476,2005-11-01,NY0026697,NEW ROCHELLE STP,4952,Sewerage Systems,1,LONG ISLAND SOUND,40.891194,-73.738667,NA,NA,NY0026697,1,02030203,Long Island Sound,NA
NY0026701,MAMARONECK SANITARY SD WWTP,1,NY0026701_1_2005-11-30,NY0026701_1,NY,22108.843537415,2005-11-01,NY0026701,MAMARONECK (V) SANITARY SD,4952,Sewerage Systems,1,LONG ISLAND SOUND,41.155583,-74.671111,NA,NA,NA,NA,NA,Long Island Sound,Long Island Sound
NY0026786,PORT CHESTER SANITARY SD WWTP,1,NY0026786_1_2005-11-30,NY0026786_1,NY,7523.80952380952,2005-11-01,NY0026786,PORT CHESTER STP,4952,Sewerage Systems,1,BYRAM R,40.989194,-73.659278,NA,NA,NY0026786,1,02030203,Long Island Sound,NA
NY0026131,NYCDEP - WARD'S ISLAND WPCP,1,NY0026131_1_2005-11-30,NY0026131_1,NY,379591.836734694,2005-11-01,NY0026131,NYCDEP - WARD'S ISLAND WPCP,4952,Sewerage Systems,1,EAST R,40.787833,-73.919139,NA,NA,NA,NA,NA,East River,East River
NY0026191,NYCDEP - HUNT'S POINT WPCP,1,NY0026191_1_2005-11-30,NY0026191_1,NY,258503.401360544,2005-11-01,NY0026191,NYCDEP - HUNT'S POINT WPCP,4952,Sewerage Systems,1,UPPER EAST R,40.801389,-73.879583,NA,NA,NY0026191,1,02030102,Bronx,NA
NY0026204,NYCDEP - NEWTOWN CREEK WPCP,1,NY0026204_1_2005-11-30,NY0026204_1,NY,495238.095238095,2005-11-01,NY0026204,NYCDEP - NEWTOWN CREEK WPCP,4952,Sewerage Systems,1,EAST R,40.731139,-73.965583,NA,NA,NA,NA,NA,East River,East River
NY0026239,NYCDEP - TALLMAN ISLAND WPCP,1,NY0026239_1_2005-11-30,NY0026239_1,NY,102040.816326531,2005-11-01,NY0026239,NYCDEP - TALLMAN ISLAND WPCP,4952,Sewerage Systems,1,EAST R,40.797583,-73.841056,NA,NA,NY0026239,1,02030102,Bronx,NA
NY0027073,NYCDEP - RED HOOK WPCP,1,NY0027073_1_2005-11-30,NY0027073_1,NY,63945.5782312925,2005-11-01,NY0027073,NYCDEP - RED HOOK WPCP,4952,Sewerage Systems,1,EAST R,40.705722,-73.984389,NA,NA,NA,NA,NA,East River,East River
NY0026999,GREAT NECK WPC DISTRICT,3,NY0026999_3_2005-12-31,NY0026999_3,NY,6720.18140589569,2005-12-01,NY0026999,GREAT NECK WPC DISTRICT,4952,Sewerage Systems,3,MANHASSET BAY,40.797722,-73.712139,NA,NA,NY0026999,3,02030201,Northern Long Island,NA
NY0026697,NEW ROCHELLE SD,1,NY0026697_1_2005-12-31,NY0026697_1,NY,23394.10430839,2005-12-01,NY0026697,NEW ROCHELLE STP,4952,Sewerage Systems,1,LONG ISLAND SOUND,40.891194,-73.738667,NA,NA,NY0026697,1,02030203,Long Island Sound,NA
NY0026701,MAMARONECK SANITARY SD WWTP,1,NY0026701_1_2005-12-31,NY0026701_1,NY,19345.1247165533,2005-12-01,NY0026701,MAMARONECK (V) SANITARY SD,4952,Sewerage Systems,1,LONG ISLAND SOUND,41.155583,-74.671111,NA,NA,NA,NA,NA,Long Island Sound,Long Island Sound
NY0026786,PORT CHESTER SANITARY SD WWTP,1,NY0026786_1_2005-12-31,NY0026786_1,NY,9110.20408163265,2005-12-01,NY0026786,PORT CHESTER STP,4952,Sewerage Systems,1,BYRAM R,40.989194,-73.659278,NA,NA,NY0026786,1,02030203,Long Island Sound,NA
NY0026131,NYCDEP - WARD'S ISLAND WPCP,1,NY0026131_1_2005-12-31,NY0026131_1,NY,404897.959183673,2005-12-01,NY0026131,NYCDEP - WARD'S ISLAND WPCP,4952,Sewerage Systems,1,EAST R,40.787833,-73.919139,NA,NA,NA,NA,NA,East River,East River
NY0026191,NYCDEP - HUNT'S POINT WPCP,1,NY0026191_1_2005-12-31,NY0026191_1,NY,303673.469387755,2005-12-01,NY0026191,NYCDEP - HUNT'S POINT WPCP,4952,Sewerage Systems,1,UPPER EAST R,40.801389,-73.879583,NA,NA,NY0026191,1,02030102,Bronx,NA
