"permit","facility","Outfall","quant_avg","conc_avg","days_per_month","key","param","permit_outfall","permit_outfall_designator","state","kg_N_TN_per_month","month_year","EXTERNAL_PERMIT_NMBR.x","FACILITY_NAME","SIC_CODES","SIC_DESCRIPTIONS","PERM_FEATURE_NMBR.x","STATE_WATER_BODY_NAME","LATITUDE83","LONGITUDE83","impute_lat","impute_lon","EXTERNAL_PERMIT_NMBR.y","PERM_FEATURE_NMBR.y","huc8","name","impute_name"
"CT0101761","EAST HADDAM WPCF","1",0.3,NA,30,"CT0101761_1_2000-11-30","00600 - Nitrogen, Total (As N)","CT0101761_1","CT0101761_1_1","CT",4.08163265306122,"2000-11","CT0101761","EAST HADDAM WPCF","4952","Sewerage Systems","1","CONNECTICUT RIVER",41.449348,-72.45882,NA,NA,"CT0101761","1","01080205","Outlet Connecticut River",NA
"CT0101761","EAST HADDAM WPCF","1",1.4,NA,31,"CT0101761_1_2000-12-31","00600 - Nitrogen, Total (As N)","CT0101761_1","CT0101761_1_1","CT",19.6825396825397,"2000-12","CT0101761","EAST HADDAM WPCF","4952","Sewerage Systems","1","CONNECTICUT RIVER",41.449348,-72.45882,NA,NA,"CT0101761","1","01080205","Outlet Connecticut River",NA
"CT0101761","EAST HADDAM WPCF","1",1.6,NA,31,"CT0101761_1_2001-01-31","00600 - Nitrogen, Total (As N)","CT0101761_1","CT0101761_1_1","CT",22.4943310657596,"2001-01","CT0101761","EAST HADDAM WPCF","4952","Sewerage Systems","1","CONNECTICUT RIVER",41.449348,-72.45882,NA,NA,"CT0101761","1","01080205","Outlet Connecticut River",NA
"CT0101770","TOWN OFREDDING","1",1.2,NA,31,"CT0101770_1_2001-01-31","00600 - Nitrogen, Total (As N)","CT0101770_1","CT0101770_1_1","CT",16.8707482993197,"2001-01","CT0101770","REDDING, TOWN OF","4952","Sewerage Systems","1","NORWALK RIVER",41.76,-73.43,NA,NA,"CT0101770","1","01100005","Housatonic",NA
"CT0101761","EAST HADDAM WPCF","1",1.8,NA,28,"CT0101761_1_2001-02-28","00600 - Nitrogen, Total (As N)","CT0101761_1","CT0101761_1_1","CT",22.8571428571429,"2001-02","CT0101761","EAST HADDAM WPCF","4952","Sewerage Systems","1","CONNECTICUT RIVER",41.449348,-72.45882,NA,NA,"CT0101761","1","01080205","Outlet Connecticut River",NA
"CT0101761","EAST HADDAM WPCF","1",2,NA,31,"CT0101761_1_2001-03-31","00600 - Nitrogen, Total (As N)","CT0101761_1","CT0101761_1_1","CT",28.1179138321995,"2001-03","CT0101761","EAST HADDAM WPCF","4952","Sewerage Systems","1","CONNECTICUT RIVER",41.449348,-72.45882,NA,NA,"CT0101761","1","01080205","Outlet Connecticut River",NA
"CT0101770","TOWN OFREDDING","1",0.3,NA,31,"CT0101770_1_2001-03-31","00600 - Nitrogen, Total (As N)","CT0101770_1","CT0101770_1_1","CT",4.21768707482993,"2001-03","CT0101770","REDDING, TOWN OF","4952","Sewerage Systems","1","NORWALK RIVER",41.76,-73.43,NA,NA,"CT0101770","1","01100005","Housatonic",NA
"CT0101761","EAST HADDAM WPCF","1",1.9,NA,30,"CT0101761_1_2001-04-30","00600 - Nitrogen, Total (As N)","CT0101761_1","CT0101761_1_1","CT",25.8503401360544,"2001-04","CT0101761","EAST HADDAM WPCF","4952","Sewerage Systems","1","CONNECTICUT RIVER",41.449348,-72.45882,NA,NA,"CT0101761","1","01080205","Outlet Connecticut River",NA
"CT0101770","TOWN OFREDDING","1",0.6,NA,30,"CT0101770_1_2001-04-30","00600 - Nitrogen, Total (As N)","CT0101770_1","CT0101770_1_1","CT",8.16326530612245,"2001-04","CT0101770","REDDING, TOWN OF","4952","Sewerage Systems","1","NORWALK RIVER",41.76,-73.43,NA,NA,"CT0101770","1","01100005","Housatonic",NA
"CT0101761","EAST HADDAM WPCF","1",1.5,NA,31,"CT0101761_1_2001-05-31","00600 - Nitrogen, Total (As N)","CT0101761_1","CT0101761_1_1","CT",21.0884353741497,"2001-05","CT0101761","EAST HADDAM WPCF","4952","Sewerage Systems","1","CONNECTICUT RIVER",41.449348,-72.45882,NA,NA,"CT0101761","1","01080205","Outlet Connecticut River",NA
