permit,facility,key,permit_outfall,kg_N_TN_per_month,month_year,outfall,state,LATITUDE83,LONGITUDE83,huc8,name,season
NY0026131,NYCDEP - WARD'S ISLAND WPCP,NY0026131_1_1999-10-31,NY0026131_1,336248.07,1999 Oct,1,NY,40.787833,-73.919139,NA,East River,fall
NY0026191,NYCDEP - HUNT'S POINT WPCP,NY0026191_1_1999-10-31,NY0026191_1,237540.14,1999 Oct,1,NY,40.801389,-73.879583,02030102,Bronx,fall
NY0026239,NYCDEP - TALLMAN ISLAND WPCP,NY0026239_1_1999-10-31,NY0026239_1,105624.94,1999 Oct,1,NY,40.797583,-73.841056,02030102,Bronx,fall
NY0026131,NYCDEP - WARD'S ISLAND WPCP,NY0026131_1_1999-11-30,NY0026131_1,339455.78,1999 Nov,1,NY,40.787833,-73.919139,NA,East River,fall
NY0026191,NYCDEP - HUNT'S POINT WPCP,NY0026191_1_1999-11-30,NY0026191_1,222965.99,1999 Nov,1,NY,40.801389,-73.879583,02030102,Bronx,fall
NY0026239,NYCDEP - TALLMAN ISLAND WPCP,NY0026239_1_1999-11-30,NY0026239_1,102952.38,1999 Nov,1,NY,40.797583,-73.841056,02030102,Bronx,fall
NY0026131,NYCDEP - WARD'S ISLAND WPCP,NY0026131_1_1999-12-31,NY0026131_1,367922.9,1999 Dec,1,NY,40.787833,-73.919139,NA,East River,winter
NY0026191,NYCDEP - HUNT'S POINT WPCP,NY0026191_1_1999-12-31,NY0026191_1,226447.62,1999 Dec,1,NY,40.801389,-73.879583,02030102,Bronx,winter
NY0026239,NYCDEP - TALLMAN ISLAND WPCP,NY0026239_1_1999-12-31,NY0026239_1,105948.3,1999 Dec,1,NY,40.797583,-73.841056,02030102,Bronx,winter
NY0026131,NYCDEP - WARD'S ISLAND WPCP,NY0026131_1_2000-01-31,NY0026131_1,375809.98,2000 Jan,1,NY,40.787833,-73.919139,NA,East River,winter
NY0026191,NYCDEP - HUNT'S POINT WPCP,NY0026191_1_2000-01-31,NY0026191_1,222019.05,2000 Jan,1,NY,40.801389,-73.879583,02030102,Bronx,winter
NY0026239,NYCDEP - TALLMAN ISLAND WPCP,NY0026239_1_2000-01-31,NY0026239_1,106609.07,2000 Jan,1,NY,40.797583,-73.841056,02030102,Bronx,winter
NY0026131,NYCDEP - WARD'S ISLAND WPCP,NY0026131_1_2000-02-29,NY0026131_1,351945.58,2000 Feb,1,NY,40.787833,-73.919139,NA,East River,winter
NY0026191,NYCDEP - HUNT'S POINT WPCP,NY0026191_1_2000-02-29,NY0026191_1,212009.07,2000 Feb,1,NY,40.801389,-73.879583,02030102,Bronx,winter
NY0026239,NYCDEP - TALLMAN ISLAND WPCP,NY0026239_1_2000-02-29,NY0026239_1,101151.47,2000 Feb,1,NY,40.797583,-73.841056,02030102,Bronx,winter
NY0026131,NYCDEP - WARD'S ISLAND WPCP,NY0026131_1_2000-03-31,NY0026131_1,378256.24,2000 Mar,1,NY,40.787833,-73.919139,NA,East River,spring
NY0026191,NYCDEP - HUNT'S POINT WPCP,NY0026191_1_2000-03-31,NY0026191_1,225505.67,2000 Mar,1,NY,40.801389,-73.879583,02030102,Bronx,spring
NY0026239,NYCDEP - TALLMAN ISLAND WPCP,NY0026239_1_2000-03-31,NY0026239_1,108014.97,2000 Mar,1,NY,40.797583,-73.841056,02030102,Bronx,spring
NY0026131,NYCDEP - WARD'S ISLAND WPCP,NY0026131_1_2000-04-30,NY0026131_1,365986.39,2000 Apr,1,NY,40.787833,-73.919139,NA,East River,spring
NY0026191,NYCDEP - HUNT'S POINT WPCP,NY0026191_1_2000-04-30,NY0026191_1,220530.61,2000 Apr,1,NY,40.801389,-73.879583,02030102,Bronx,spring
NY0026239,NYCDEP - TALLMAN ISLAND WPCP,NY0026239_1_2000-04-30,NY0026239_1,103523.81,2000 Apr,1,NY,40.797583,-73.841056,02030102,Bronx,spring
NY0026131,NYCDEP - WARD'S ISLAND WPCP,NY0026131_1_2000-05-31,NY0026131_1,378776.42,2000 May,1,NY,40.787833,-73.919139,NA,East River,spring
NY0026191,NYCDEP - HUNT'S POINT WPCP,NY0026191_1_2000-05-31,NY0026191_1,228598.64,2000 May,1,NY,40.801389,-73.879583,02030102,Bronx,spring
NY0026239,NYCDEP - TALLMAN ISLAND WPCP,NY0026239_1_2000-05-31,NY0026239_1,108282.09,2000 May,1,NY,40.797583,-73.841056,02030102,Bronx,spring
NY0026131,NYCDEP - WARD'S ISLAND WPCP,NY0026131_1_2000-06-30,NY0026131_1,365102.04,2000 Jun,1,NY,40.787833,-73.919139,NA,East River,summer
NY0026191,NYCDEP - HUNT'S POINT WPCP,NY0026191_1_2000-06-30,NY0026191_1,223006.8,2000 Jun,1,NY,40.801389,-73.879583,02030102,Bronx,summer
NY0026239,NYCDEP - TALLMAN ISLAND WPCP,NY0026239_1_2000-06-30,NY0026239_1,106081.63,2000 Jun,1,NY,40.797583,-73.841056,02030102,Bronx,summer
NY0026131,NYCDEP - WARD'S ISLAND WPCP,NY0026131_1_2000-07-31,NY0026131_1,363339.68,2000 Jul,1,NY,40.787833,-73.919139,NA,East River,summer
NY0026191,NYCDEP - HUNT'S POINT WPCP,NY0026191_1_2000-07-31,NY0026191_1,224366.89,2000 Jul,1,NY,40.801389,-73.879583,02030102,Bronx,summer
NY0026239,NYCDEP - TALLMAN ISLAND WPCP,NY0026239_1_2000-07-31,NY0026239_1,108338.32,2000 Jul,1,NY,40.797583,-73.841056,02030102,Bronx,summer
NY0026131,NYCDEP - WARD'S ISLAND WPCP,NY0026131_1_2000-08-31,NY0026131_1,368864.85,2000 Aug,1,NY,40.787833,-73.919139,NA,East River,summer
NY0026191,NYCDEP - HUNT'S POINT WPCP,NY0026191_1_2000-08-31,NY0026191_1,228008.16,2000 Aug,1,NY,40.801389,-73.879583,02030102,Bronx,summer
NY0026239,NYCDEP - TALLMAN ISLAND WPCP,NY0026239_1_2000-08-31,NY0026239_1,109687.98,2000 Aug,1,NY,40.797583,-73.841056,02030102,Bronx,summer
NY0026131,NYCDEP - WARD'S ISLAND WPCP,NY0026131_1_2000-09-30,NY0026131_1,354925.17,2000 Sep,1,NY,40.787833,-73.919139,NA,East River,fall
NY0026191,NYCDEP - HUNT'S POINT WPCP,NY0026191_1_2000-09-30,NY0026191_1,220421.77,2000 Sep,1,NY,40.801389,-73.879583,02030102,Bronx,fall
NY0026239,NYCDEP - TALLMAN ISLAND WPCP,NY0026239_1_2000-09-30,NY0026239_1,107387.76,2000 Sep,1,NY,40.797583,-73.841056,02030102,Bronx,fall
NY0026131,NYCDEP - WARD'S ISLAND WPCP,NY0026131_1_2000-10-31,NY0026131_1,366179.59,2000 Oct,1,NY,40.787833,-73.919139,NA,East River,fall
NY0026191,NYCDEP - HUNT'S POINT WPCP,NY0026191_1_2000-10-31,NY0026191_1,228528.34,2000 Oct,1,NY,40.801389,-73.879583,02030102,Bronx,fall
NY0026239,NYCDEP - TALLMAN ISLAND WPCP,NY0026239_1_2000-10-31,NY0026239_1,111093.88,2000 Oct,1,NY,40.797583,-73.841056,02030102,Bronx,fall
NY0026131,NYCDEP - WARD'S ISLAND WPCP,NY0026131_1_2000-11-30,NY0026131_1,338925.17,2000 Nov,1,NY,40.787833,-73.919139,NA,East River,fall
NY0026191,NYCDEP - HUNT'S POINT WPCP,NY0026191_1_2000-11-30,NY0026191_1,222299.32,2000 Nov,1,NY,40.801389,-73.879583,02030102,Bronx,fall
NY0026239,NYCDEP - TALLMAN ISLAND WPCP,NY0026239_1_2000-11-30,NY0026239_1,107170.07,2000 Nov,1,NY,40.797583,-73.841056,02030102,Bronx,fall
NY0026131,NYCDEP - WARD'S ISLAND WPCP,NY0026131_1_2000-12-31,NY0026131_1,335235.83,2000 Dec,1,NY,40.787833,-73.919139,NA,East River,winter
NY0026191,NYCDEP - HUNT'S POINT WPCP,NY0026191_1_2000-12-31,NY0026191_1,232563.27,2000 Dec,1,NY,40.801389,-73.879583,02030102,Bronx,winter
NY0026239,NYCDEP - TALLMAN ISLAND WPCP,NY0026239_1_2000-12-31,NY0026239_1,111543.76,2000 Dec,1,NY,40.797583,-73.841056,02030102,Bronx,winter
